Date,Description,Recurring
2025-01-01,Nieuwjaarsdag,Y
2025-04-20,Eerste Paasdag,N
2025-04-21,Tweede Paasdag,N
2025-04-26,Koningsdag,N
2025-05-05,Bevrijdingsdag,Y
2025-05-29,Hemelvaartsdag,N
2025-06-08,Eerste Pinksterdag,N
2025-06-09,Tweede Pinksterdag,N
2025-12-25,Eerste Kerstdag,Y
2025-12-26,Tweede Kerstdag,Y
2026-04-05,Eerste Paasdag,N
2026-04-06,Tweede Paasdag,N
2026-04-27,Koningsdag,N
2026-05-14,Hemelvaartsdag,N
2026-05-24,Eerste Pinksterdag,N
2026-05-25,Tweede Pinksterdag,N
2027-03-28,Eerste Paasdag,N
2027-03-29,Tweede Paasdag,N
2027-04-27,Koningsdag,N
2027-05-06,Hemelvaartsdag,N
2027-05-16,Eerste Pinksterdag,N
2027-05-17,Tweede Pinksterdag,N
2028-04-16,Eerste Paasdag,N
2028-04-17,Tweede Paasdag,N
2028-04-27,Koningsdag,N
2028-05-25,Hemelvaartsdag,N
2028-06-04,Eerste Pinksterdag,N
2028-06-05,Tweede Pinksterdag,N
2029-04-01,Eerste Paasdag,N
2029-04-02,Tweede Paasdag,N
2029-04-27,Koningsdag,N
2029-05-10,Hemelvaartsdag,N
2029-05-20,Eerste Pinksterdag,N
2029-05-21,Tweede Pinksterdag,N
2030-04-21,Eerste Paasdag,N
2030-04-22,Tweede Paasdag,N
2030-04-27,Koningsdag,N
2030-05-30,Hemelvaartsdag,N
2030-06-09,Eerste Pinksterdag,N
2030-06-10,Tweede Pinksterdag,N
